location,location_code,geographic_level,time_period,gender,school_type,grade,age_category,average_mean
England,E92000001,country,201617,Unclassified,Total state-funded schools,Other Leadership teachers,Total,46401.8
England,E92000001,country,201617,Unclassified,Total state-funded schools,Total,Total,31463.9
England,E92000001,country,201718,Female,Total state-funded schools,Classroom teachers,Total,35178.7
England,E92000001,country,201718,Female,Total state-funded schools,Head teachers,Total,66173.7
England,E92000001,country,201718,Female,Total state-funded schools,Other Leadership teachers,Total,51854.2
England,E92000001,country,201718,Female,Total state-funded schools,Total,Total,37954.2
England,E92000001,country,201718,Male,Total state-funded schools,Classroom teachers,Total,36020.1
England,E92000001,country,201718,Male,Total state-funded schools,Head teachers,Total,74510.7
England,E92000001,country,201718,Male,Total state-funded schools,Other Leadership teachers,Total,55534.4
England,E92000001,country,201718,Male,Total state-funded schools,Total,Total,40840.9
England,E92000001,country,201718,Total,Total state-funded schools,Classroom teachers,Total,35373
England,E92000001,country,201718,Total,Total state-funded schools,Head teachers,Total,68944
England,E92000001,country,201718,Total,Total state-funded schools,Other Leadership teachers,Total,52968.8
England,E92000001,country,201718,Total,Total state-funded schools,Total,Total,38655.5
England,E92000001,country,201718,Unclassified,Total state-funded schools,Classroom teachers,Total,32462.9
England,E92000001,country,201718,Unclassified,Total state-funded schools,Head teachers,Total,c
England,E92000001,country,201718,Unclassified,Total state-funded schools,Other Leadership teachers,Total,75306.3
England,E92000001,country,201718,Unclassified,Total state-funded schools,Total,Total,35716.8
England,E92000001,country,201819,Female,Total state-funded schools,Classroom teachers,Total,35993.3
England,E92000001,country,201819,Female,Total state-funded schools,Head teachers,Total,67260.3
England,E92000001,country,201819,Female,Total state-funded schools,Other Leadership teachers,Total,52645.8
England,E92000001,country,201819,Female,Total state-funded schools,Total,Total,38789.7
England,E92000001,country,201819,Male,Total state-funded schools,Classroom teachers,Total,36830.5
England,E92000001,country,201819,Male,Total state-funded schools,Head teachers,Total,75464.7
England,E92000001,country,201819,Male,Total state-funded schools,Other Leadership teachers,Total,56136.7
England,E92000001,country,201819,Male,Total state-funded schools,Total,Total,41645.2
England,E92000001,country,201819,Total,Total state-funded schools,Classroom teachers,Total,36185.1
England,E92000001,country,201819,Total,Total state-funded schools,Head teachers,Total,69976.3
England,E92000001,country,201819,Total,Total state-funded schools,Other Leadership teachers,Total,53697.7
England,E92000001,country,201819,Total,Total state-funded schools,Total,Total,39480.5
England,E92000001,country,201819,Unclassified,Total state-funded schools,Classroom teachers,Total,30696
England,E92000001,country,201819,Unclassified,Total state-funded schools,Head teachers,Total,74757.2
England,E92000001,country,201819,Unclassified,Total state-funded schools,Other Leadership teachers,Total,50151
England,E92000001,country,201819,Unclassified,Total state-funded schools,Total,Total,34901.6
England,E92000001,country,201920,Female,Total state-funded schools,Classroom teachers,Total,36985.4
England,E92000001,country,201920,Female,Total state-funded schools,Head teachers,Total,68869.6
England,E92000001,country,201920,Female,Total state-funded schools,Other Leadership teachers,Total,53832.5
England,E92000001,country,201920,Female,Total state-funded schools,Total,Total,39825.1
England,E92000001,country,201920,Male,Total state-funded schools,Classroom teachers,Total,37885.1
England,E92000001,country,201920,Male,Total state-funded schools,Head teachers,Total,77361.5
England,E92000001,country,201920,Male,Total state-funded schools,Other Leadership teachers,Total,57406.6
England,E92000001,country,201920,Male,Total state-funded schools,Total,Total,42776.3
England,E92000001,country,201920,Total,Total state-funded schools,Classroom teachers,Total,37191.5
England,E92000001,country,201920,Total,Total state-funded schools,Head teachers,Total,71655.1
England,E92000001,country,201920,Total,Total state-funded schools,Other Leadership teachers,Total,54911
England,E92000001,country,201920,Total,Total state-funded schools,Total,Total,40537
England,E92000001,country,201920,Unclassified,Total state-funded schools,Classroom teachers,Total,34244
England,E92000001,country,201920,Unclassified,Total state-funded schools,Head teachers,Total,63910.4
England,E92000001,country,201920,Unclassified,Total state-funded schools,Other Leadership teachers,Total,53403.1
England,E92000001,country,201920,Unclassified,Total state-funded schools,Total,Total,36962.3
